          English                   German                     French                   Spanish              Portuguese                        Arabic
          abolish               abschaffen                     abolir                    abolir                  abolir                          تلغي
         abortion               Abtreibung                 Avortement                    aborto                  aborto                         إجهاض
          absence              Abwesenheit                    absence                  ausencia                ausência                          غياب
           absent                 abwesend                     absent                   ausente                 ausente                          غائب
           absurd                   absurd                    absurde                   absurdo                 absurdo                          سخيف
            abuse             missbrauchen                  abuser de                     abuso                   Abuso                         تعاطي
          academy                 akademie                   académie                  academia                Academia                    الأكاديمية
       accelerate            beschleunigen                  accélérer                  acelerar                acelerar                         تسريع
       acceptance                Akzeptanz                acceptation                aceptación               aceitação                          قبول
       accessible               zugänglich                 accessible                 accesible               acessível                   يمكن الوصول
   accomplishment               Vollendung            accomplissement                     logro              realização                         إنجاز
      accordingly             entsprechend             en conséquence           respectivamente           adequadamente                    وفقاً لذلك
   accountability     Rechenschaftspflicht             responsabilité           responsabilidad        responsabilidade                       مسئولية
      accountable   rechenschaftspflichtig                  redevable               responsable             responsável                         مسؤول
       accumulate             akkumulieren                  accumuler                  acumular                acumular                           جمع
     accumulation                Anhäufung               accumulation               acumulación              acumulação                         تراكم
       accusation            Anschuldigung                 accusation                 acusación                acusação                       الاتهام
          accused                angeklagt                     accusé                   acusado                 acusado                        المتهم
             acid                    sauer                      acide                     ácido                   ácido                          حامض
      acquisition                   Erwerb                acquisition               adquisición               aquisição                       استحواذ
       activation              Aktivierung                 Activation                activación                ativação                       التنشيط
         activist                 Aktivist                  activiste                 activista                ativista                          ناشط
            acute                     akut                       aigu                     agudo                   agudo                        بَصِير
       adaptation                Anpassung                 adaptation                adaptación               adaptação                        التكيف
           adhere                anhaftend                    adhérer                 adherirse                  aderir                         يتمسك
         adjacent               angrenzend                   adjacent                 adyacente               adjacente                         متاخم
       adjustment                Anpassung                 ajustement              ajustamiento             ajustamento                         تعديل
       administer                verwalten                administrer               administrar           administrador                         إدارة
   administrative                verwalten              administratif            administrativo          administrativo                         إداري
    administrator                Verwalter             administrateur             administrador           administrador                          مدير
        admission                 Aufnahme                  admission                  admisión                admissão                  سماح بالدخول
       adolescent             Jugendlicher                adolescente               adolescente             adolescente                         مراهق
         adoption                 Adoption                   adoption                  adopción                  adoção                          تبني
          adverse               nachteilig                    négatif                   adverso           desfavoraveis                          سلبي
         advocate              Befürworter                     avocat                  defensor                advogado                        المؤيد
        aesthetic                 Ästhetik                 esthétique                  estético                estético                         جمالي
        affection                Zuneigung                  affection                    cariño                 afeição                         تاثير
        aftermath       Folgeerscheinungen               conséquences                  secuelas               resultado                ما بعد الكارثة
       aggression               Aggression                  agression                  agresión                agressão                         عدوان
     agricultural           Landwirtschaft                   agricole                  agrícola                agrícola                         زراعي
             aide                    Hilfe                       aide                  ayudante                ajudante                         مساعد
            alert               aufmerksam                     alerte                    alerta                  alerta                         إنذار
            alien            Außerirdische             extraterrestre            extraterrestre             estrangeiro                    كائن فضائي
            align               ausrichten                    aligner                   alinear                 alinhar                        محاذاة
        alignment               ausrichten                 alignement                alineación             alinhamento                        محاذاة
            alike                   gleich                ressemblent                   similar                parecido                   على حد سواء
       allegation               Behauptung                 allégation                 alegación                alegação                         ادعاء
           allege               Behauptung                   alléguer                    alegar                  alegar                           زعم
        allegedly                Angeblich               prétendument             presuntamente            alegadamente                          يزعم
         alliance                  Allianz                   Alliance                   Alianza                 aliança                         تحالف
         allocate                 zuordnen                    allouer                   asignar              distribuir                         تخصيص
