abolish,abschaffen,abolir,abolir,abolir,تلغي
abortion,Abtreibung,avortement,aborto,aborto,إجهاض
absence,Abwesenheit,absence,ausencia,ausência,غياب
absent,abwesend,absent,ausente,ausente,غائب
absurd,absurd,absurde,absurdo,absurdo,سخيف
accelerate,beschleunigen,accélérer,acelerar,acelerar,تسريع
accessible,zugänglich,accessible,accesible,acessível,يمكن الوصول
accordingly,entsprechend,en conséquence,respectivamente,adequadamente,وفقاً لذلك
accountability,Rechenschaftspflicht,responsabilité,responsabilidad,responsabilidade,مسئولية
accountable,rechenschaftspflichtig,redevable,responsable,responsável,مسؤول
adhere,anhaftend,adhérer,adherirse,aderir,يتمسك
adjacent,angrenzend,adjacent,adyacente,adjacente,متاخم
adjustment,Anpassung,ajustement,ajustamiento,ajustamento,تعديل
administrative,administrativ,administratif,administrativo,administrativo,إداري
adolescent,Jugendlicher,adolescent,adolescente,adolescente,مراهق
adverse,nachteilig,défavorable,adverso,desfavoraveis,سلبي
advocate,Befürworter,défenseur,defensor,advogado,المؤيد
aesthetic,Ästhetik,esthétique,estético,estético,جمالي
aftermath,Nachwirkungen,séquelles,secuelas,resultado,ما بعد الكارثة
alert,aufmerksam,alerte,alerta,alerta,إنذار
alike,gleich,similaire,similar,parecido,على حد سواء
allegedly,angeblich,prétendument,presuntamente,alegadamente,يزعم
allocate,zuordnen,allouer,asignar,distribuir,تخصيص
bankruptcy,Bankrott,faillite,bancarrota,falência,إفلاس
barrel,Fass,baril,barril,barril,برميل
bay,Bucht,baie,bahía,baía,شراء
beneath,unter,sous,debajo,abaixo,أسفل
betray,verraten,trahir,traicionar,trair,يخون
beverage,Getränk,boisson,bebida,bebida,مشروب
biography,Biographie,biographie,biografía,biografia,سيرة شخصية
blend,mischen,mélange,mezclar,mistura,يمزج
boundary,Grenze,limite,límite,limite,الحدود
bow,Bogen,arc,arco,arco,ينحني
bureaucracy,Bürokratie,bureaucratie,burocracia,burocracia,البيروقراطية
cabinet,Kabinett,cabinet,gabinete,gabinete,خزانة
calculation,Berechnung,calcul,cálculo,Cálculo,عملية حسابية
capability,Fähigkeit,capacité,capacidad,capacidade,الإمكانية
capitalism,Kapitalismus,capitalisme,capitalismo,capitalismo,الرأسمالية
capitalist,kapitalistisch,capitaliste,capitalista,capitalista,رأسمالي
cargo,Fracht,cargaison,cargo,cargo,البضائع
carriage,Wagen,cargaison,carro,transporte,عربه قطار
carve,schnitzen,sculpter,esculpir,esculpir,نحت
casino,Kasino,casino,casino,cassino,كازينو
casualty,Unfall,blessé,víctima,acidente,ضحية
catalog,Katalog,catalogue,catalogar,catálogo,فهرس
cattle,Vieh,bétail,ganado,gado,ماشية
caution,Vorsicht,prudence,precaución,cuidado,حذر
chronic,chronisch,chronique,crónico,crônica,مزمن
citizenship,Staatsbürgerschaft,citoyenneté,ciudadanía,cidadania,المواطنة
civic,staatsbürgerlich,civique,cívico,cívico,مدني
civilian,zivil,civil,civil,civil,مدني
clarity,Klarheit,clarté,claridad,clareza,وضوح
clash,Konflikt,conflit,choque,choque,اشتباك
cling,klammern,clivage,adherirse,agarrar,تشبث
clinical,klinisch,clinique,clínico,clínico,مرضي
cognitive,kognitiv,cognitif,cognitivo,cognitivo,الإدراكي
coincide,übereinstimmen,correspondre,coincide,coincidir,تزامن
collaborate,zusammenarbeiten,collaborer,colaborar,colaborar,يتعاون
conceal,verbergen,dissimuler,encubrir,esconder,إخفاء
