abolish,abschaffen,abolir,abolir,abolir,تلغي
abortion,Abtreibung,avortement,aborto,aborto,إجهاض
absence,Abwesenheit,absence,ausencia,ausência,غياب
absent,abwesend,absent,ausente,ausente,غائب
absurd,absurd,absurde,absurdo,absurdo,سخيف
abuse,missbrauchen,abus,abuso,abuso,تعاطي
academy,Akademie,académie,academia,academia,الأكاديمية
accelerate,beschleunigen,accélérer,acelerar,acelerar,تسريع
acceptance,Akzeptanz,acceptation,aceptación,aceitação,قبول
accessible,zugänglich,accessible,accesible,acessível,يمكن الوصول
accomplishment,Vollendung,accomplissement,logro,realização,إنجاز
accordingly,entsprechend,en conséquence,respectivamente,adequadamente,وفقاً لذلك
accountability,Rechenschaftspflicht,responsabilité,responsabilidad,responsabilidade,مسئولية
accountable,rechenschaftspflichtig,redevable,responsable,responsável,مسؤول
accumulate,akkumulieren,accumuler,acumular,acumular,جمع
accumulation,Anhäufung,accumulation,acumulación,acumulação,تراكم
accusation,Anschuldigung,accusation,acusación,acusação,الاتهام
accused,angeklagt,accusé,acusado,acusado,المتهم
acid,sauer,acide,ácido,ácido,حامض
acquisition,Erwerb,acquisition,adquisición,aquisição,استحواذ
activation,Aktivierung,activation,activación,ativação,التنشيط
activist,Aktivist,activiste,activista,ativista,ناشط
acute,akut,aiguë,agudo,agudo,بَصِير
adaptation,Anpassung,adaptation,adaptación,adaptação,التكيف
adhere,anhaftend,adhérer,adherirse,aderir,يتمسك
adjacent,angrenzend,adjacent,adyacente,adjacente,متاخم
adjustment,Anpassung,ajustement,ajustamiento,ajustamento,تعديل
administer,verwalten,administrer,administrar,administrador,إدارة
administrative,administrativ,administratif,administrativo,administrativo,إداري
administrator,Verwalter,administrateur,administrador,administrador,مدير
admission,Aufnahme,admission,admisión,admissão,سماح بالدخول
adolescent,Jugendlicher,adolescent,adolescente,adolescente,مراهق
adoption,Adoption,adoption,adopción,adoção,تبني
adverse,nachteilig,défavorable,adverso,desfavoraveis,سلبي
advocate,Befürworter,défenseur,defensor,advogado,المؤيد
aesthetic,Ästhetik,esthétique,estético,estético,جمالي
affection,Zuneigung,affection,cariño,afeição,تاثير
aftermath,Nachwirkungen,séquelles,secuelas,resultado,ما بعد الكارثة
aggression,Aggression,agression,agresión,agressão,عدوان
agricultural,Landwirtschaft,agricole,agrícola,agrícola,زراعي
aide,Hilfe,aide,ayudante,ajudante,مساعد
alert,aufmerksam,alerte,alerta,alerta,إنذار
alien,Außerirdischer,étranger,extraterrestre,estrangeiro,كائن فضائي
align,ausrichten,aligner,alinear,alinhar,محاذاة
alignment,Ausrichtung,alignement,alineación,alinhamento,محاذاة
alike,gleich,similaire,similar,parecido,على حد سواء
allegation,Behauptung,allégation,alegación,alegação,ادعاء
allege,behaupten,alléguer,alegar,alegar,زعم
allegedly,angeblich,prétendument,presuntamente,alegadamente,يزعم
alliance,Allianz,alliance,alianza,aliança,تحالف
allocate,zuordnen,allouer,asignar,distribuir,تخصيص
allocation,Zuweisung,allocation,asignación,alocação,توزيع
allowance,Vergütung,allocation,tolerancia,mesada,مخصص
ally,verbünden,allié,aliado,aliado,حليف
aluminum,Aluminium,aluminium,aluminio,alumínio,الألومنيوم
amateur,Amateur,amateur,aficionado,amador,هواة
ambassador,Botschafter,ambassadeur,embajador,embaixador,سفير
amend,ändern,amender,enmendar,alterar,يعدل
amendment,Änderung,amendement,enmienda,alteração,تعديل
amid,inmitten von,entre,entre,Entre,وسط
